date,open,high,low,close,volume
2024-11-22,2687.50,2710.50,2685.60,2709.90,41
2024-11-25,2689.40,2689.40,2616.80,2616.80,94
2024-11-26,2625.60,2625.60,2620.30,2620.30,177858
2024-11-27,2633.50,2657.90,2627.20,2639.90,61653
2024-11-29,2636.40,2664.30,2620.70,2657.00,3861
2024-12-02,2649.00,2649.80,2621.70,2634.90,695
2024-12-03,2639.00,2654.70,2636.00,2644.70,1062
2024-12-04,2639.20,2658.30,2637.00,2653.80,249
2024-12-05,2652.40,2655.00,2625.70,2626.60,573
2024-12-06,2620.20,2643.10,2617.50,2638.60,571
2024-12-09,2632.10,2677.10,2630.80,2664.90,935
2024-12-10,2662.30,2698.20,2661.00,2697.60,437
2024-12-11,2701.80,2733.80,2693.10,2733.80,3387
2024-12-12,2725.10,2725.10,2677.40,2687.50,2365
2024-12-13,2688.20,2689.30,2647.90,2656.00,1125
2024-12-16,2658.30,2663.30,2651.00,2651.40,877
2024-12-17,2651.80,2652.30,2632.50,2644.40,705
2024-12-18,2644.30,2647.10,2590.20,2636.50,566
2024-12-19,2582.10,2610.30,2582.10,2592.20,238
2024-12-20,2605.30,2631.60,2604.90,2628.70,592
2024-12-23,2620.00,2627.70,2611.10,2612.30,451
2024-12-24,2613.00,2620.00,2609.50,2620.00,35
2024-12-26,2628.50,2638.80,2627.90,2638.80,84
2024-12-27,2617.70,2617.70,2616.40,2617.20,642
2024-12-30,2620.70,2626.90,2597.00,2606.10,794
2024-12-31,2608.40,2629.20,2604.90,2629.20,401
2025-01-02,2633.00,2663.10,2633.00,2658.90,1728
2025-01-03,2658.70,2658.70,2641.80,2645.00,591
2025-01-06,2645.50,2647.00,2617.30,2638.40,960
2025-01-07,2653.40,2657.50,2653.00,2656.70,643
2025-01-08,2655.50,2676.90,2653.50,2664.50,999
2025-01-09,2669.70,2686.30,2667.90,2683.80,1139
2025-01-10,2686.10,2720.10,2683.70,2708.50,403
2025-01-13,2711.10,2711.20,2673.50,2673.50,765
2025-01-14,2673.60,2688.30,2670.80,2677.50,794
2025-01-15,2690.80,2712.50,2690.80,2712.50,930
2025-01-16,2731.70,2749.80,2731.70,2746.40,1721
2025-01-17,2736.00,2751.60,2725.50,2744.30,1214
2025-01-21,2746.00,2755.00,2724.80,2755.00,1439
2025-01-22,2754.50,2768.80,2753.50,2767.60,2079
2025-01-23,2760.00,2765.00,2745.40,2763.10,2201
2025-01-24,2759.80,2792.00,2759.80,2777.30,1593
2025-01-27,2761.10,2762.20,2737.50,2737.50,984
2025-01-28,2738.00,2766.80,2738.00,2766.80,2307
2025-01-29,2769.10,2769.10,2769.10,2769.10,125692
2025-01-30,2772.50,2829.50,2770.00,2823.00,40141
2025-01-31,2829.00,2838.00,2804.00,2812.50,3443
2025-02-03,2818.20,2848.40,2780.90,2833.90,2649
2025-02-04,2827.60,2853.30,2816.10,2853.30,2187
2025-02-05,2850.00,2880.50,2848.00,2871.60,4519
